Rows Columns Xmin Xmax Ymin Ymax Search_Density Global_Minimum Xpos Ypos Search_Time
10 10 -10.0 10.0 -10.0 10.0 0.1 -32205 -8.0 6.0 1
10 10 -10.0 10.0 -10.0 10.0 0.2 -32205 -8.0 6.0 0
10 10 -10.0 10.0 -10.0 10.0 0.3 -32205 -8.0 6.0 1
10 10 -10.0 10.0 -10.0 10.0 0.4 -32205 -8.0 6.0 1
10 10 -10.0 10.0 -10.0 10.0 0.5 -32205 -8.0 6.0 1
10 10 -10.0 10.0 -10.0 10.0 0.6 -32205 -8.0 6.0 1
10 10 -10.0 10.0 -10.0 10.0 0.7 -32205 -8.0 6.0 1
10 10 -10.0 10.0 -10.0 10.0 0.8 -32205 -8.0 6.0 0
10 10 -10.0 10.0 -10.0 10.0 0.9 -32205 -8.0 6.0 1
10 10 -10.0 10.0 -10.0 10.0 1.0 -32205 -8.0 6.0 1
10 10 -100.0 100.0 -100.0 100.0 0.1 -1499 -80.0 0.0 0
10 10 -100.0 100.0 -100.0 100.0 0.2 -1499 -80.0 0.0 1
10 10 -100.0 100.0 -100.0 100.0 0.3 -1499 -80.0 0.0 1
10 10 -100.0 100.0 -100.0 100.0 0.4 -1499 -80.0 0.0 0
10 10 -100.0 100.0 -100.0 100.0 0.5 -1499 -80.0 0.0 1
10 10 -100.0 100.0 -100.0 100.0 0.6 -1499 -80.0 0.0 2
10 10 -100.0 100.0 -100.0 100.0 0.7 -1499 -80.0 0.0 1
10 10 -100.0 100.0 -100.0 100.0 0.8 -1499 -80.0 0.0 1
10 10 -100.0 100.0 -100.0 100.0 0.9 -1499 -80.0 0.0 1
10 10 -100.0 100.0 -100.0 100.0 1.0 -1499 -80.0 0.0 1
10 10 -1000.0 1000.0 -1000.0 1000.0 0.1 499 800.0 0.0 0
10 10 -1000.0 1000.0 -1000.0 1000.0 0.2 499 800.0 0.0 1
10 10 -1000.0 1000.0 -1000.0 1000.0 0.3 499 800.0 0.0 1
10 10 -1000.0 1000.0 -1000.0 1000.0 0.4 499 800.0 0.0 0
10 10 -1000.0 1000.0 -1000.0 1000.0 0.5 499 800.0 0.0 1
10 10 -1000.0 1000.0 -1000.0 1000.0 0.6 499 800.0 0.0 1
10 10 -1000.0 1000.0 -1000.0 1000.0 0.7 499 800.0 0.0 1
10 10 -1000.0 1000.0 -1000.0 1000.0 0.8 499 800.0 0.0 0
10 10 -1000.0 1000.0 -1000.0 1000.0 0.9 499 800.0 0.0 1
10 10 -1000.0 1000.0 -1000.0 1000.0 1.0 499 800.0 0.0 1
10 10 -5000.0 5000.0 -5000.0 5000.0 0.1 -1380 -5000.0 0.0 0
10 10 -5000.0 5000.0 -5000.0 5000.0 0.2 -1380 -5000.0 0.0 1
10 10 -5000.0 5000.0 -5000.0 5000.0 0.3 -1380 -5000.0 0.0 1
10 10 -5000.0 5000.0 -5000.0 5000.0 0.4 -1380 -5000.0 0.0 1
10 10 -5000.0 5000.0 -5000.0 5000.0 0.5 -1380 -5000.0 0.0 0
10 10 -5000.0 5000.0 -5000.0 5000.0 0.6 -1380 -5000.0 0.0 0
10 10 -5000.0 5000.0 -5000.0 5000.0 0.7 -1380 -5000.0 0.0 0
10 10 -5000.0 5000.0 -5000.0 5000.0 0.8 -1380 -5000.0 0.0 1
10 10 -5000.0 5000.0 -5000.0 5000.0 0.9 -1380 -5000.0 0.0 1
10 10 -5000.0 5000.0 -5000.0 5000.0 1.0 -1380 -5000.0 0.0 1
100 100 -10.0 10.0 -10.0 10.0 0.1 -44841 -1.5999999999999996 6.199999999999999 2
100 100 -10.0 10.0 -10.0 10.0 0.2 -44841 -1.5999999999999996 6.199999999999999 3
100 100 -10.0 10.0 -10.0 10.0 0.3 -44841 -1.5999999999999996 6.199999999999999 2
100 100 -10.0 10.0 -10.0 10.0 0.4 -44841 -1.5999999999999996 6.199999999999999 2
100 100 -10.0 10.0 -10.0 10.0 0.5 -44841 -1.5999999999999996 6.199999999999999 4
100 100 -10.0 10.0 -10.0 10.0 0.6 -44841 -1.5999999999999996 6.199999999999999 3
100 100 -10.0 10.0 -10.0 10.0 0.7 -44841 -1.5999999999999996 6.199999999999999 3
100 100 -10.0 10.0 -10.0 10.0 0.8 -44841 -1.5999999999999996 6.199999999999999 2
100 100 -10.0 10.0 -10.0 10.0 0.9 -44841 -1.5999999999999996 6.199999999999999 3
100 100 -10.0 10.0 -10.0 10.0 1.0 -44841 -1.5999999999999996 6.199999999999999 3
100 100 -100.0 100.0 -100.0 100.0 0.1 -32295 80.0 6.0 2
100 100 -100.0 100.0 -100.0 100.0 0.2 -32295 80.0 6.0 1
100 100 -100.0 100.0 -100.0 100.0 0.3 -32295 80.0 6.0 2
100 100 -100.0 100.0 -100.0 100.0 0.4 -32295 80.0 6.0 4
100 100 -100.0 100.0 -100.0 100.0 0.5 -32295 80.0 6.0 2
100 100 -100.0 100.0 -100.0 100.0 0.6 -32295 80.0 6.0 18
100 100 -100.0 100.0 -100.0 100.0 0.7 -32295 80.0 6.0 27
100 100 -100.0 100.0 -100.0 100.0 0.8 -32295 80.0 6.0 3
100 100 -100.0 100.0 -100.0 100.0 0.9 -32295 80.0 6.0 3
100 100 -100.0 100.0 -100.0 100.0 1.0 -32295 80.0 6.0 3
100 100 -1000.0 1000.0 -1000.0 1000.0 0.1 -1616 -300.0 0.0 3
100 100 -1000.0 1000.0 -1000.0 1000.0 0.2 -1616 -300.0 0.0 2
100 100 -1000.0 1000.0 -1000.0 1000.0 0.3 -1616 -300.0 0.0 2
100 100 -1000.0 1000.0 -1000.0 1000.0 0.4 -1616 -300.0 0.0 2
100 100 -1000.0 1000.0 -1000.0 1000.0 0.5 -1616 -300.0 0.0 2
100 100 -1000.0 1000.0 -1000.0 1000.0 0.6 -1616 -300.0 0.0 2
100 100 -1000.0 1000.0 -1000.0 1000.0 0.7 -1616 -300.0 0.0 2
100 100 -1000.0 1000.0 -1000.0 1000.0 0.8 -1616 -300.0 0.0 2
100 100 -1000.0 1000.0 -1000.0 1000.0 0.9 -1616 -300.0 0.0 2
100 100 -1000.0 1000.0 -1000.0 1000.0 1.0 -1616 -300.0 0.0 3
100 100 -5000.0 5000.0 -5000.0 5000.0 0.1 -1616 -300.0 0.0 1
100 100 -5000.0 5000.0 -5000.0 5000.0 0.2 -1616 -300.0 0.0 2
100 100 -5000.0 5000.0 -5000.0 5000.0 0.3 -1616 -300.0 0.0 2
100 100 -5000.0 5000.0 -5000.0 5000.0 0.4 -1616 -300.0 0.0 3
100 100 -5000.0 5000.0 -5000.0 5000.0 0.5 -1616 -300.0 0.0 1
100 100 -5000.0 5000.0 -5000.0 5000.0 0.6 -1616 -300.0 0.0 2
100 100 -5000.0 5000.0 -5000.0 5000.0 0.7 -1616 -300.0 0.0 1
100 100 -5000.0 5000.0 -5000.0 5000.0 0.8 -1616 -300.0 0.0 2
100 100 -5000.0 5000.0 -5000.0 5000.0 0.9 -1616 -300.0 0.0 2
100 100 -5000.0 5000.0 -5000.0 5000.0 1.0 -1616 -300.0 0.0 3
1000 1000 -10.0 10.0 -10.0 10.0 0.1 -77491 4.720000000000001 6.280000000000001 73
1000 1000 -10.0 10.0 -10.0 10.0 0.2 -77491 -7.859999999999999 6.280000000000001 58
1000 1000 -10.0 10.0 -10.0 10.0 0.3 -77491 -1.58 6.280000000000001 57
1000 1000 -10.0 10.0 -10.0 10.0 0.4 -77491 -1.58 6.280000000000001 55
1000 1000 -10.0 10.0 -10.0 10.0 0.5 -77491 -7.859999999999999 6.280000000000001 74
1000 1000 -10.0 10.0 -10.0 10.0 0.6 -77491 -1.58 6.280000000000001 76
1000 1000 -10.0 10.0 -10.0 10.0 0.7 -77491 -1.58 6.280000000000001 79
1000 1000 -10.0 10.0 -10.0 10.0 0.8 -77491 -7.859999999999999 6.280000000000001 85
1000 1000 -10.0 10.0 -10.0 10.0 0.9 -77491 4.720000000000001 6.280000000000001 79
1000 1000 -10.0 10.0 -10.0 10.0 1.0 -77491 -7.859999999999999 6.280000000000001 96
1000 1000 -100.0 100.0 -100.0 100.0 0.1 -44849 86.4 6.200000000000003 42
1000 1000 -100.0 100.0 -100.0 100.0 0.2 -44849 11.0 6.200000000000003 52
1000 1000 -100.0 100.0 -100.0 100.0 0.3 -44849 -64.4 6.200000000000003 76
1000 1000 -100.0 100.0 -100.0 100.0 0.4 -44849 11.0 6.200000000000003 58
1000 1000 -100.0 100.0 -100.0 100.0 0.5 -44849 -64.4 6.200000000000003 84
1000 1000 -100.0 100.0 -100.0 100.0 0.6 -44849 86.4 6.200000000000003 62
1000 1000 -100.0 100.0 -100.0 100.0 0.7 -44849 -64.4 6.200000000000003 72
1000 1000 -100.0 100.0 -100.0 100.0 0.8 -44849 -64.4 6.200000000000003 71
1000 1000 -100.0 100.0 -100.0 100.0 0.9 -44849 -64.4 6.200000000000003 71
1000 1000 -100.0 100.0 -100.0 100.0 1.0 -44849 86.4 6.200000000000003 74
1000 1000 -1000.0 1000.0 -1000.0 1000.0 0.1 -32416 344.0 6.0 30
1000 1000 -1000.0 1000.0 -1000.0 1000.0 0.2 -32416 344.0 6.0 50
1000 1000 -1000.0 1000.0 -1000.0 1000.0 0.3 -32416 -366.0 6.0 64
1000 1000 -1000.0 1000.0 -1000.0 1000.0 0.4 -32416 344.0 6.0 76
